"rank","name","continent","adjustedPoints","population","sportEarth","debuff"
"66","Fincen","Atirha","1249.73","4620320","Football","0"
"67","Ucrua","Massir","1248.97","30764253","Football","0"
"68","Phuris","Atirha","1247.53","27120468","Football","0"
"69","Prstreula","New Ayre","1237.44","6835852","Football","0"
"70","Curata","Atirha","1237.24","4523613","Football","0"
"71","Exilium","Mahea","1235.51","25083674","Football","0"
"72","Nheyes Si","Quia","1233.42","12224862","Football","0"
"73","Iquir","Acrola","1231.5","36356117","Football","0"
"74","Rijan bu","Acrola","1229.64","3626297","Football","0"
"75","Estijan","Ayuma","1228.19","260844816","Estijan Baseball","350.0"
"76","Palina","Ayuma","1227.81","3123402","Football","0"
"77","Eldavpir","Acrola","1219.5","29421790","Football","0"
"78","Lieri","Mahea","1217.61","36478307","Football","0"
"79","Onphello","Quia","1217.46","10233103","Football","0"
"80","Jshain","Acrola","1217.31","12584520","Football","0"
"81","Othya","Acrola","1214.65","30421695","Football","0"
"82","Oscairia","Massir","1214.65","22386666","Football","0"
"83","Pelugrotoa","Mahea","1210.3","347520587","Basketball","400.0"
"84","Grazail","Atirha","1205.88","3347590","Football","0"
"85","Ruylku","Massir","1205.25","11838201","Football","0"
"86","Zenashan","Ayuma","1196.02","9819273","Football","0"
"87","Galca","Mahea","1188.88","16057397","Football","0"
"88","Taing","Mahea","1187.42","2162677","Football","0"
"89","Fire Coast","Acrola","1185.11","7181169","Football","0"
"90","Viussi","Acrola","1183.25","17339111","Football","0"
"91","Inrea","Mahea","1182.0","2051970","Football","0"
"92","Ihner","Massir","1176.11","6257140","Football","0"
"93","Taoisia","Mahea","1169.16","11247660","Football","0"
"94","Pelan","Atirha","1168.09","13705584","Etirhan Football","100.0"
"95","Andsaudare","New Ayre","1158.34","3146473","Football","0"
"96","Shinam","Massir","1156.18","31948027","Football","0"
"97","Tomscilus","Atirha","1153.32","1158763","Football","0"
"98","Peka","Atirha","1151.88","1300163","Football","0"
"99","lasri","Atirha","1151.31","2170550","Football","0"
"100","Walporein","New Ayre","1144.31","730203","Football","0"
"101","Yihnurda","Quia","1144.07","8714286","Football","0"
"102","Ozinia","Mahea","1137.9","7898975","Football","0"
"103","Baluyde","Quia","1136.95","1638021","Football","0"
"104","Taniduna","Acrola","1126.71","45062542","Football","0"
"105","Guise","Atirha","1125.34","833491","Football","0"
"106","Jathua","Acrola","1124.65","13153004","Football","0"
"107","Crila Republic","New Ayre","1108.87","945980","Football","0"
"108","Candenat","Acrola","1104.25","27332521","Football","0"
"109","Rtesania","Mahea","1104.03","9975075","Football","0"
"110","Aetintio","Atirha","1103.52","1405387","Football","0"
"111","Eparia","Massir","1096.24","4070555","Football","0"
"112","Slyiaduun","Atirha","1093.33","2166683","Football","0"
"113","Umendel","Acrola","1092.96","7437017","Football","0"
"114","Sunsokua","Mahea","1089.72","79558877","Basketball","400.0"
"115","Yutnitu","New Ayre","1080.23","447879","Football","0"
"116","Sattle","Acrola","1076.16","9388939","Football","0"
"117","Ashain","Quia","1069.9","62265521","Basketball","400.0"
"118","Aplasia","New Ayre","1067.52","376609","Football","0"
"119","Canldives","Massir","1063.56","759043","Football","0"
"120","Pruim Fijan","Massir","1061.61","3307617","Football","0"
"121","Vayvele","Mahea","1055.57","74436761","Basketball","400.0"
"122","Saa","Acrola","1048.37","2549416","Football","0"
"123","Welenu Fana","Massir","1041.98","19674606","Football","0"
"124","New Kizura","Ayuma","1039.81","133065","Football","0"
"125","Amcha","Mahea","1037.74","2236563","Football","0"
"126","Ahokini","Quia","1023.7","20712946","Basketball","400.0"
"127","Zhanshe","Quia","1005.23","7354910","Football","0"
"128","Heiso","Ayuma/Acrola","997.58","20605956","Ice Hockey","300.0"
"129","Metndria","Atirha","997.32","635532","Football","0"
"130","Verste","Quia","988.52","53302916","Archery","450.0"
"131","Migoku","Massir","980.74","6231859","Football","0"
"132","Niretui and Anulan","New Ayre","964.44","189681","Football","0"
"133","Desaki","Quia","963.27","29182698","Archery","450.0"
"134","Selaja","Mahea","957.9","31644352","Basketball","400.0"
"135","Suenan","Massir","954.88","54705622","Dodgeball","450.0"
"136","Veelmit","New Ayre","944.04","828597","Football","0"
"137","Rinew","Acrola","938.12","233966","Football","0"
"138","Shomjind","Quia","935.35","2898502","Football","0"
"139","Sadain","Mahea","924.0","18288844","Basketball","400.0"
"140","Elja and Munusia","New Ayre","922.79","495291","Football","0"
"141","Yoprioq","Acrola","911.47","5131190","Football","0"
"142","Rkmepuia","New Ayre","897.85","324028","Football","0"
"143","Hiwush","New Ayre","886.52","239092","Football","0"
"144","Iareva","Quia","883.75","8002152","Archery","450.0"
"145","Uularin","Ayuma","861.77","5001934","Estijan Baseball","350.0"
"146","Cloja","Massir","851.31","47933","Football","0"
"147","Western Migoku","Massir","847.1","2950683","Football","0"
"148","Pha Hii","Massir","843.01","2646840","Dodgeball","450.0"
"149","Rethern","New Ayre","834.16","82798","Football","0"
"150","Koruch","Ayuma","830.67","820937","Ice Hockey","300.0"
"151","Feio Lie","Acrola","828.45","7849450","Basketball","400.0"
"152","United Mihili","Quia","806.08","33524353","Archery","450.0"
"153","Ocaun","Mahea","792.47","88913943","Wrestling","450.0"
"154","Enina","Acrola","791.61","51690","Football","0"
"155","Prystr Hii","Massir","781.31","1640804","Dodgeball","450.0"
"156","Mesjan Hyaa","Quia","778.15","2048851","Archery","450.0"
"157","Jau","Acrola","768.78","22993720","Baseball","350.0"
"158","Isuibul","New Ayre","756.2","37482","Football","0"
"159","Danocia","Ayuma","756.16","2020940","Ice Hockey","300.0"
"160","Kaastini","Massir","750.3","4348275","Dodgeball","450.0"
"161","Letan","Quia","737.42","76045","Football","0"
"162","Byllu","Mahea","731.32","9106539","Basketball","400.0"
"163","Ikzen","Ayuma","725.83","3103322","Estijan Baseball","350.0"
"164","Urbiqu","Ayuma","668.93","1914198","Estijan Baseball","350.0"
"165","Tvecoca","New Ayre","647.13","5165","Football","0"
"166","Stinebar","Massir","630.76","345037","Dodgeball","450.0"
"167","Trevilla","Acrola","629.54","10360","Football","0"
"168","Niul Spijan","Ayuma","587.35","220218","Ice Hockey","300.0"
"169","Hyelen","Quia","584.87","1724423","Archery","450.0"
"170","Cruthi Anoso","Mahea","498.93","3984","Football","0"
"171","Tonder","Ayuma","408.79","143925","Estijan Baseball","350.0"
"172","Far Lands","Quia","351.66","1441954","Archery","450.0"
