City,Nation,Continent,Population (M),GDP per Capita,"GDP (Nominal, $bn)",Pop. Band,Capital?,Hub?,Routes,Latitude,Longitude
Tirzovik,Emara,Ayuma,2.91,23214,67.62,1-5M,,,57,26.02,39.17
Sorvaya,Lycroa,Ayuma,1.12,20635,23.13,1-5M,,,34,26.02,49.14
Hanzubek,Ukhdari,Ayuma,1.14,11230,12.77,1-5M,,,20,25.73,76.43
Lunatoa,Areoix Lie,Acrola,1.85,7937,14.72,1-5M,,,22,25.73,100.80
Xamahu,Areoix Lie,Acrola,1.21,7937,9.57,1-5M,,,18,25.66,93.67
Brimasha,Praesyu,Ayuma,4.63,14167,65.59,1-5M,Yes,,76,25.62,58.61
Faramozan,Ukhdari,Ayuma,1.03,11230,11.56,1-5M,Yes,,36,25.12,76.14
Sompai,Lycroa,Ayuma,2.36,20635,48.66,1-5M,,,43,25.01,47.56
Tazirun,Ealdorii,Ayuma,1.50,4921,7.36,1-5M,,,15,24.36,62.03
Borzhai,Emara,Ayuma,3.08,23214,71.45,1-5M,,,57,24.21,42.73
Rivostan,Emara,Ayuma,14.97,23214,347.45,10-20M,Yes,Yes,232,24.11,41.51
Shaikuv,Emara,Ayuma,4.57,23214,105.97,1-5M,,,73,24.03,39.71
Sakhen,Ilicuhe,Ayuma,1.62,29484,47.88,1-5M,Yes,,62,23.78,53.14
Ashdeer,Praesyu,Ayuma,1.00,14167,14.17,1-5M,,,24,23.78,55.22
Tianoro,Areoix Lie,Acrola,1.97,7937,15.60,1-5M,,,24,23.78,96.30
Lashirov,Emara,Ayuma,1.06,23214,24.61,1-5M,,,34,23.57,42.73
Vikura,Areoix Lie,Acrola,2.56,7937,20.29,1-5M,,,24,23.57,89.57
Vornak,Ealdorii,Ayuma,1.29,4921,6.35,1-5M,,,15,23.46,64.01
Yilovka,Emara,Ayuma,3.12,23214,72.31,1-5M,,,58,23.13,40.86
Kadorak,Ealdorii,Ayuma,1.02,4921,5.02,1-5M,,,13,22.31,65.63
Khalzhun,Emara,Ayuma,7.32,23214,169.93,5-10M,,,95,22.05,42.91
Tanbai,Easuhura,Ayuma,9.36,25000,234.00,5-10M,Yes,Yes,194,21.95,47.88
Boklan,Easuhura,Ayuma,1.13,25000,28.20,1-5M,,,37,21.59,48.78
Samaru,Acrana,Ayuma,1.07,8849,9.49,1-5M,Yes,,24,21.30,62.71
Shurqan,Ealdorii,Ayuma,13.29,4921,65.41,10-20M,Yes,Yes,140,21.15,67.86
Chishanov,Emara,Ayuma,2.72,23214,63.17,1-5M,,,45,20.90,41.87
Zarhesh,Ealdorii,Ayuma,4.18,4921,20.57,1-5M,,,25,20.76,69.77
Paviri,Easuhura,Ayuma,1.16,25000,29.02,1-5M,,,36,20.69,45.79
Khessli,Easuhura,Ayuma,1.26,25000,31.40,1-5M,,,37,20.58,47.59
Ezrum,Ukhdari,Ayuma,1.33,11230,14.94,1-5M,,,21,20.25,73.80
Hikorai,Areoix Lie,Acrola,1.14,7937,9.02,1-5M,,,18,20.25,108.18
Draunak,Ealdorii,Ayuma,1.75,4921,8.60,1-5M,,,14,20.22,68.87
Chayek,Easuhura,Ayuma,2.77,25000,69.28,1-5M,,,48,20.07,46.73
Phalanij,Easuhura,Ayuma,1.57,25000,39.20,1-5M,,,39,20.07,50.76
Havrishka,Ealdorii,Ayuma,2.58,4921,12.71,1-5M,,,19,19.89,67.68
Tahuato,Acetoa,Acrola,1.28,8333,10.70,1-5M,,,17,19.89,100.08
Vorsadun,Ealdorii,Ayuma,1.60,4921,7.88,1-5M,,,16,19.75,66.28
Turashik,Ealdorii,Ayuma,6.32,4921,31.10,5-10M,,,31,19.53,70.31
Bokayek,Easuhura,Ayuma,1.04,25000,26.02,1-5M,,,36,19.50,48.24
Borshavi,Ukhdari,Ayuma,4.29,11230,48.19,1-5M,,,36,19.43,72.07
Veshgadar,Ukhdari,Ayuma,5.77,11230,64.80,5-10M,,,58,18.49,71.71
Turashik,Ealdorii,Ayuma,6.32,4921,31.10,1-5M,,,30,18.35,69.55
Aruhala,Acetoa,Acrola,1.08,8333,9.03,1-5M,,,17,18.24,100.73
Yezhito,Acetoa,Acrola,1.16,8333,9.64,1-5M,Yes,,23,17.63,104.29
Fanitia,Terressin,Acrola,1.15,4881,5.61,1-5M,,,13,17.52,91.73
Dy,Ukhdari,Ayuma,1.85,11230,20.73,1-5M,,,25,17.27,71.82
Borezu,Acrana,Ayuma,1.03,8849,9.09,1-5M,,,18,16.80,66.13
Hunzavir,Ukhdari,Ayuma,1.21,11230,13.58,1-5M,,,21,16.65,72.47
Risavo,Crila Republic,New Ayre,3.93,11893,46.77,1-5M,Yes,,42,16.26,-38.95
Muvash,Ealdorii,Ayuma,1.96,4921,9.63,1-5M,,,17,15.90,71.57
Zirafu,Zenashan,Ayuma,2.09,2897,6.05,1-5M,Yes,,19,15.47,69.23
Zurlan,Hkuqo,Ayuma,1.12,2937,3.29,1-5M,,,14,15.47,72.47
Muntai,Jau,Acrola,1.03,437,0.45,1-5M,Yes,,16,14.67,78.95
Rudeka,Maalle,New Ayre,1.49,3254,4.84,1-5M,Yes,,18,14.02,-39.89
Kauhuo,Terressin,Acrola,1.62,4881,7.91,1-5M,,,14,13.84,93.53
Kavirro,Astye,New Ayre,2.63,3694,9.72,1-5M,Yes,,20,12.98,-42.62
Hirvasa,Ohtina,New Ayre,1.98,8770,17.35,1-5M,,,19,12.66,-53.21
Rajalindo,Hkuqo,Ayuma,1.00,2937,2.94,1-5M,,,12,12.22,73.08
Velloro,Terressin,Acrola,5.09,4881,24.84,5-10M,Yes,,35,12.12,92.59
Lumeka,Ohtina,New Ayre,2.96,8770,26.00,1-5M,,,23,12.04,-50.11
Heslian,United Delet,New Ayre,6.88,10198,70.17,5-10M,,,35,11.40,-40.68
Glonashi,Astye,New Ayre,1.22,3694,4.50,1-5M,,,12,11.14,-42.01
Fenavo,Ohtina,New Ayre,2.17,8770,19.01,1-5M,,,22,11.07,-50.22
Roviri,United Delet,New Ayre,2.48,10198,25.26,1-5M,,,28,10.86,-41.47
Losari,Astye,New Ayre,1.25,3694,4.60,1-5M,,,12,10.78,-46.15
Tivara,United Delet,New Ayre,1.13,10198,11.53,1-5M,,,20,9.78,-37.76
Tanshiva,Hkuqo,Ayuma,4.03,2937,11.83,1-5M,Yes,,22,9.63,69.73
Mantraal,United Delet,New Ayre,19.98,10198,203.76,10-20M,Yes,Yes,133,9.45,-41.26
Dhamasol,Hkuqo,Ayuma,1.80,2937,5.29,1-5M,,,12,9.27,73.51
Narvila,United Delet,New Ayre,4.19,10198,42.76,1-5M,,,33,9.24,-35.10
Chitralna,Hkuqo,Ayuma,1.11,2937,3.27,1-5M,,,11,9.16,72.61
Kovasi,Nia,New Ayre,1.29,3373,4.34,1-5M,Yes,,18,8.80,-30.24
Kavlira,Etirha,Atirha,4.22,35397,149.37,1-5M,,,83,8.70,-56.56
Solekhan,United Delet,New Ayre,1.14,10198,11.62,1-5M,,,21,8.73,-39.13
Tavon,Eldavpir,Acrola,1.49,1198,1.78,1-5M,,,11,8.73,108.97
Ravohni,United Delet,New Ayre,1.20,10198,12.22,1-5M,,,20,8.44,-36.65
Halumbaro,Reerica,Acrola,1.57,7619,11.95,1-5M,Yes,,24,8.44,113.47
Su Sariko,Ohtina,New Ayre,3.21,8770,28.12,1-5M,Yes,,32,8.26,-52.56
Lurimah,United Delet,New Ayre,1.74,10198,17.78,1-5M,,,25,8.01,-41.83
Chavindora,Taval,Massir,1.24,10635,13.22,1-5M,,,21,7.51,66.42
Lunfrix,Eldavpir,Acrola,1.86,1198,2.24,1-5M,Yes,,18,7.18,97.45
Firanza,United Delet,New Ayre,2.40,10198,24.51,1-5M,,,27,6.54,-37.08
Torivis,United Delet,New Ayre,2.04,10198,20.78,1-5M,,,27,6.18,-41.15
Espralit,Sattle,Acrola,1.19,667,0.80,1-5M,Yes,,17,5.38,102.24
Talanvi,United Delet,New Ayre,1.16,10198,11.78,1-5M,,,19,5.10,-44.53
Vindasira,Hkuqo,Ayuma,1.48,2937,4.34,1-5M,,,12,4.52,75.24
Zadira,United Delet,New Ayre,1.25,10198,12.76,1-5M,,,21,4.23,-40.43
Chavillar,Iquir,Acrola,6.43,1111,7.14,5-10M,Yes,,29,4.23,88.20
Dalyar,Pelines,Acrola,10.47,2560,26.80,10-20M,Yes,,36,3.29,113.69
Harlitak,Othya,Acrola,1.96,1087,2.13,1-5M,Yes,,19,2.61,103.93
Luzparan,Taval,Massir,1.73,10635,18.39,1-5M,,,22,2.39,60.34
Caminastra,Taval,Massir,1.64,10635,17.39,1-5M,,,22,2.21,65.70
Lunavati,Hkuqo,Ayuma,1.11,2937,3.26,1-5M,,,11,2.07,76.68
Tamalpura,Taval,Massir,5.32,10635,56.58,5-10M,,,45,1.96,67.14
Tanshivar,Taval,Massir,1.17,10635,12.49,1-5M,,,20,1.78,58.57
Vidadesh,Taval,Massir,1.55,10635,16.53,1-5M,,,21,1.53,69.95
Zolittique,Taniduna,Acrola,5.65,234,1.32,5-10M,Yes,,27,0.95,90.79
Pelviret,Taniduna,Acrola,1.91,234,0.45,1-5M,,,12,-0.20,83.81
Vesnadi,Taval,Massir,1.61,10635,17.16,1-5M,,,20,-0.49,62.75
Suraspa,Taval,Massir,3.65,10635,38.84,1-5M,Yes,,36,-1.31,53.64
Bhanquillo,Taval,Massir,1.17,10635,12.47,1-5M,,,20,-1.35,54.72
Arokdan,Pelines,Acrola,1.46,2560,3.73,1-5M,,,11,-2.54,109.69
Frevinta,Ucrua,Massir,1.07,1659,1.78,1-5M,Yes,,16,-2.72,69.30
Fermahal,Ucrua,Massir,3.89,1659,6.45,1-5M,,,18,-2.97,63.65
Yagmosantri,Pelines,Acrola,3.84,2560,9.82,1-5M,,,18,-2.97,112.68
Zambhori,Viussi,Acrola,1.17,1337,1.56,1-5M,Yes,,17,-3.15,103.50
Hirvani,Umarcia,New Ayre,2.86,6032,17.25,1-5M,Yes,,24,-3.62,-32.58
Dulravi,Jshain,Acrola,1.20,2905,3.48,1-5M,,,11,-4.16,80.93
Tovani,Mendereide,New Ayre,3.38,6310,21.32,1-5M,Yes,,25,-4.23,-10.98
Tijhara,Haiza,Massir,1.22,9325,11.33,1-5M,,,20,-4.41,76.14
Damsiri,Isari,New Ayre,1.07,7222,7.74,1-5M,Yes,,22,-4.66,-0.40
Obelinti,Deschon,Acrola,3.69,1821,6.72,1-5M,Yes,,22,-4.84,115.78
Maphinde,Rijan Bu,Acrola,1.24,8794,10.88,1-5M,,,19,-4.81,117.83
Ulamsik,Deschon,Acrola,2.64,1821,4.81,1-5M,,,15,-5.06,109.66
Hunakwe,Deschon,Acrola,2.50,1821,4.56,1-5M,,,15,-5.49,104.94
Palnoro,Taval,Massir,2.28,10635,24.24,1-5M,,,21,-5.74,47.66
Lorasak,Erkizil,Quia,1.00,1817,1.82,1-5M,,,10,-5.89,-142.81
Evue,Iainoa,New Ayre,3.84,3643,14.00,1-5M,Yes,,22,-6.21,-36.07
Savyan,Jshain,Acrola,1.37,2905,3.98,1-5M,Yes,,17,-6.32,81.90
Erosan,Erkizil,Quia,4.36,1817,7.92,1-5M,,,16,-6.43,-145.98
Tsalaka,Erkizil,Quia,1.47,1817,2.67,1-5M,,,11,-6.43,-144.79
Junik,Inania,Mahea,1.48,3135,4.64,1-5M,,,12,-6.50,119.05
Koyah,Erkizil,Quia,1.47,1817,2.68,1-5M,,,11,-6.75,-150.37
Iktavi,Erkizil,Quia,2.79,1817,5.07,1-5M,,,13,-6.86,-147.67
Sikpah,Ztesh,Quia,1.02,3409,3.47,1-5M,,,13,-7.44,-138.74
Mirzulek,Shinam,Massir,2.34,492,1.15,1-5M,Yes,,19,-7.58,71.60
Wahashi,Erkizil,Quia,1.82,1817,3.31,1-5M,,,12,-7.69,-146.95
Ikkat,Ztesh,Quia,3.98,3409,13.56,1-5M,,,19,-7.69,-140.40
Tuhli,Erkizil,Quia,1.17,1817,2.12,1-5M,,,11,-8.01,-150.12
Meenor,Wundry,Quia,2.14,2226,4.76,1-5M,,,13,-8.16,-130.75
Tiraqsi,Erkizil,Quia,16.90,1817,30.71,10-20M,Yes,Yes,107,-8.23,-148.75
Reeveta,Wundry,Quia,2.72,2226,6.06,1-5M,,,15,-8.30,-131.58
Pihkosi,Ztesh,Quia,1.79,3409,6.10,1-5M,,,17,-8.37,-135.90
Wiskot,Ztesh,Quia,8.99,3409,30.64,5-10M,,,42,-9.20,-139.25
Nakamik,Ztesh,Quia,1.10,3409,3.76,1-5M,,,15,-9.38,-137.95
Zundalor,Shinam,Massir,3.85,492,1.90,1-5M,,,17,-9.49,69.12
Reevon,Wundry,Quia,1.74,2226,3.86,1-5M,,,15,-9.56,-128.23
Cairiso,Erkizil,Quia,3.42,1817,6.22,1-5M,,,16,-9.81,-145.98
Vellikar,Erkizil,Quia,3.53,1817,6.41,1-5M,,,15,-10.03,-144.00
Teeneval,Wundry,Quia,1.08,2226,2.41,1-5M,,,10,-10.03,-123.23
Kelvizu,Ruylku,Massir,1.46,2663,3.89,1-5M,Yes,,17,-10.03,63.22
Lenere,Wundry,Quia,1.02,2226,2.28,1-5M,,,11,-10.10,-131.98
Eteska,Wundry,Quia,1.82,2226,4.05,1-5M,,,16,-10.10,-129.02
Chavira,Haiza,Massir,1.22,9325,11.40,1-5M,Yes,,25,-10.42,83.41
Pakikwan,Ztesh,Quia,2.82,3409,9.63,1-5M,,,22,-10.89,-137.34
Nuhtalu,Erkizil,Quia,1.12,1817,2.04,1-5M,,,11,-11.11,-143.53
Shawink,Ztesh,Quia,1.19,3409,4.06,1-5M,,,14,-11.25,-135.72
Enorva,Wundry,Quia,1.04,2226,2.31,1-5M,,,10,-11.43,-123.26
Vereen,Wundry,Quia,1.69,2226,3.75,1-5M,,,15,-11.54,-127.44
Pawik,Ztesh,Quia,1.05,3409,3.59,1-5M,,,13,-11.61,-134.71
Kivalin,Quidic,Quia,2.02,5000,10.11,1-5M,,,17,-11.72,-147.85
Yoteka,Ztesh,Quia,1.51,3409,5.16,1-5M,,,13,-11.83,-140.83
Keeter,Wundry,Quia,1.32,2226,2.94,1-5M,,,11,-12.08,-123.91
Tiyotik,Ztesh,Quia,2.43,3409,8.29,1-5M,,,17,-12.15,-141.73
Eserni,Wundry,Quia,8.88,2226,19.77,5-10M,,,25,-12.26,-122.65
Teveme,Wundry,Quia,6.65,2226,14.80,5-10M,Yes,,27,-12.44,-126.94
Varnai,Ashain,Quia,3.95,12738,50.29,1-5M,,,33,-12.69,-166.39
Zekrah,Quidic,Quia,1.36,5000,6.79,1-5M,,,14,-12.73,-147.96
Morzelka,Oscairia,Massir,3.90,1512,5.90,1-5M,Yes,,21,-12.73,61.31
Seevera,Wundry,Quia,1.68,2226,3.74,1-5M,,,14,-12.80,-125.35
Dunora,Quidic,Quia,1.18,5000,5.91,1-5M,,,13,-12.91,-146.05
Zinthi,Inania,Mahea,1.17,3135,3.66,1-5M,,,11,-13.09,105.59
Nimitik,Ztesh,Quia,2.23,3409,7.59,1-5M,,,23,-13.16,-137.48
Kaskis,Ztesh,Quia,3.66,3409,12.49,1-5M,,,29,-13.52,-129.35
Taylan,Inania,Mahea,1.09,3135,3.42,1-5M,,,11,-13.63,120.85
Hondir,Inania,Mahea,2.82,3135,8.85,1-5M,,,18,-13.77,114.23
Mikiw,Ztesh,Quia,1.01,3409,3.43,1-5M,,,13,-13.95,-133.49
Czarnulek,Oscairia,Massir,1.18,1512,1.78,1-5M,,,11,-13.99,69.34
Zanir,Inania,Mahea,1.38,3135,4.33,1-5M,,,13,-13.99,107.53
Oposkwe,Ztesh,Quia,3.02,3409,10.30,1-5M,,,21,-14.17,-124.74
Rikotha,Quidic,Quia,1.54,5000,7.71,1-5M,,,16,-14.31,-143.35
Ashkik,Ztesh,Quia,4.14,3409,14.11,1-5M,,,23,-14.53,-126.29
Ratsom,Ztesh,Quia,7.10,3409,24.20,5-10M,,,42,-14.67,-138.13
Quinliya,Dahe,Massir,1.01,10755,10.88,1-5M,,,21,-14.96,58.61
