City,Nation,Continent,Population,GDP per Capita,GDP (Nominal),Economic Mass,Population Band,Is Capital,Is Hub,Route Count (Degree),Latitude,Longitude,Map X,Map Y,ID
Shabiran,Estijan,Ayuma,13218000,10753.97,142145952381,142145952381,10-20M,TRUE,TRUE,132,50.4641,56.988,6583,1098,shabiran
Druvka,Raledria,Atirha,1231000,28492.06,35073730159,35073730159,1-5M,FALSE,FALSE,42,49.78,-41.148,3857,1117,druvka
Quzharil,Estijan,Ayuma,1060000,10753.97,11399206349,11399206349,1-5M,FALSE,FALSE,20,49.4919,65.052,6807,1125,quzharil
Khalviro,Fermori,Ayuma,1038000,9206.35,9556190476,9556190476,1-5M,TRUE,FALSE,24,49.4199,46.008,6278,1127,khalviro
Khidiris,Estijan,Ayuma,1045000,10753.97,11237896825,11237896825,1-5M,FALSE,FALSE,20,49.0238,56.952,6582,1138,khidiris
Komiros,Raledria,Atirha,2869000,28492.06,81743730159,81743730159,1-5M,FALSE,FALSE,59,48.7718,-43.848,3782,1145,komiros
Tsyanka,Gaeiya,Atirha,2850000,19642.86,55982142857,55982142857,1-5M,TRUE,FALSE,58,48.3037,-35.172,4023,1158,tsyanka
Fazraba,Estijan,Ayuma,1435000,10753.97,15431944444,15431944444,1-5M,FALSE,FALSE,20,48.1236,59.832,6662,1163,fazraba
Walfrei,Verusa,Ayuma,1008000,22301.59,22480000000,22480000000,1-5M,FALSE,FALSE,32,47.8716,43.884,6219,1170,walfrei
Bodhar,Raledria,Atirha,1528000,28492.06,43535873016,43535873016,1-5M,FALSE,FALSE,46,47.2234,-56.52,3430,1188,bodhar
Zhoshi,Raledria,Atirha,1629000,28492.06,46413571429,46413571429,1-5M,FALSE,FALSE,50,47.1514,-51.192,3578,1190,zhoshi
Pekrin-Vavlen,Raledria,Atirha,8210000,28492.06,233919841270,233919841270,5-10M,FALSE,TRUE,109,47.0794,-45.468,3737,1192,pekrin-vavlen
Braniv,Genaire,Atirha,1533000,18650.79,28591666667,28591666667,1-5M,FALSE,FALSE,29,46.6833,-79.632,2788,1203,braniv
Rovik,Raledria,Atirha,14378000,28492.06,409658888889,409658888889,10-20M,FALSE,TRUE,136,46.6833,-38.124,3941,1203,rovik
Vadja,Raledria,Atirha,2487000,28492.06,70859761905,70859761905,1-5M,FALSE,FALSE,55,46.5393,-48.96,3640,1207,vadja
Tirna,Raledria,Atirha,5880000,28492.06,167533333333,167533333333,5-10M,TRUE,TRUE,124,46.4313,-38.7,3925,1210,tirna
Hiranzo,New Misos,Atirha,1177000,15555.56,18308888889,18308888889,1-5M,FALSE,FALSE,27,46.1432,-63.612,3233,1218,hiranzo
Nirun,Raledria,Atirha,3027000,28492.06,86245476190,86245476190,1-5M,FALSE,FALSE,57,46.1432,-40.5,3875,1218,nirun
Felitu,Heiso,Ayuma/Acrola,1200000,4722.22,5666666667,5666666667,1-5M,FALSE,FALSE,13,45.7111,100.872,7802,1230,felitu
Fryokar,Raledria,Atirha,4937000,28492.06,140665317460,140665317460,1-5M,FALSE,FALSE,65,45.6391,-37.98,3945,1232,fryokar
Tsamir,Raledria,Atirha,1236000,28492.06,35216190476,35216190476,1-5M,FALSE,FALSE,40,45.3511,-44.46,3765,1240,tsamir
Yaltra,Raledria,Atirha,1756000,28492.06,50032063492,50032063492,1-5M,FALSE,FALSE,47,45.027,-41.76,3840,1249,yaltra
Zahlim,Uularin,Ayuma,1537000,7301.59,11222539683,11222539683,1-5M,TRUE,FALSE,23,45.027,49.32,6370,1249,zahlim
Qayhadr,Estijan,Ayuma,1499000,10753.97,16120198413,16120198413,1-5M,FALSE,FALSE,22,44.991,56.88,6580,1250,qayhadr
Sanilu,New Misos,Atirha,1212000,15555.56,18853333333,18853333333,1-5M,FALSE,FALSE,26,44.883,-62.712,3258,1253,sanilu
Lirika,New Misos,Atirha,7770000,15555.56,120866666667,120866666667,5-10M,FALSE,FALSE,68,44.811,-68.58,3095,1255,lirika
Pikvor,Raledria,Atirha,1906000,28492.06,54305873016,54305873016,1-5M,FALSE,FALSE,52,44.811,-54.936,3474,1255,pikvor
Mushira,Grazail,Atirha,1040000,10436.51,10853968254,10853968254,1-5M,TRUE,FALSE,25,44.811,-1.908,4947,1255,mushira
Lishka,Genaire,Atirha,1439000,18650.79,26838492063,26838492063,1-5M,TRUE,FALSE,37,44.6309,-81.252,2743,1260,lishka
Sarvek,Raledria,Atirha,1082000,28492.06,30828412698,30828412698,1-5M,FALSE,FALSE,39,44.6309,-45.18,3745,1260,sarvek
Tavik,Raledria,Atirha,9480000,28492.06,270104761905,270104761905,5-10M,FALSE,TRUE,129,44.2709,-46.152,3718,1270,tavik
Gulshen,Verusa,Ayuma,1040000,22301.59,23193650794,23193650794,1-5M,FALSE,FALSE,33,44.1988,40.428,6123,1272,gulshen
Gorchi,Raledria,Atirha,1178000,28492.06,33563650794,33563650794,1-5M,FALSE,FALSE,40,44.0188,-48.168,3662,1277,gorchi
Taoqu,Pelan,Atirha,3239000,5039.68,16323531746,16323531746,1-5M,TRUE,FALSE,23,44.0188,-22.392,4378,1277,taoqu
Darnet,New Misos,Atirha,1225000,15555.56,19055555556,19055555556,1-5M,FALSE,FALSE,26,43.7307,-57.132,3413,1285,darnet
Zunle,Raledria,Atirha,12488000,28492.06,355808888889,355808888889,10-20M,FALSE,TRUE,130,43.4787,-39.672,3898,1292,zunle
Zarfan,Lydroa,Ayuma,1738000,6468.25,11241825397,11241825397,1-5M,TRUE,FALSE,22,43.4427,52.56,6460,1293,zarfan
Birska,Raledria,Atirha,5070000,28492.06,144454761905,144454761905,5-10M,FALSE,FALSE,68,43.2987,-51.66,3565,1297,birska
Solima,New Misos,Atirha,2049000,15555.56,31873333333,31873333333,1-5M,FALSE,FALSE,26,43.1546,-66.672,3148,1301,solima
Dhalpavishka,Raledria,Atirha,2092000,28492.06,59605396825,59605396825,1-5M,FALSE,FALSE,52,43.1546,-45.648,3732,1301,dhalpavishka
Albira,New Misos,Atirha,1455000,15555.56,22633333333,22633333333,1-5M,FALSE,FALSE,26,43.1186,-74.052,2943,1302,albira
Shinori,Etirha,Atirha,3950000,35396.83,139817460317,139817460317,1-5M,FALSE,FALSE,59,43.1186,-10.656,4704,1302,shinori
Nokavi,New Misos,Atirha,1186000,15555.56,18448888889,18448888889,1-5M,FALSE,FALSE,25,42.7586,-58.572,3373,1312,nokavi
Dazkar,Etirha,Atirha,1990000,35396.83,70439682540,70439682540,1-5M,FALSE,FALSE,49,42.6505,-18.072,4498,1315,dazkar
Valkirseh,Verusa,Ayuma,1445000,22301.59,32225793651,32225793651,1-5M,FALSE,FALSE,36,42.6505,44.892,6247,1315,valkirseh
Lunava,New Misos,Atirha,2647000,15555.56,41175555556,41175555556,1-5M,TRUE,FALSE,40,42.5425,-67.932,3113,1318,lunava
Mivlo,Heiso,Ayuma/Acrola,1576000,4722.22,7442222222,7442222222,1-5M,TRUE,FALSE,20,42.4705,100.26,7785,1320,mivlo
Mulkhan,Etirha,Atirha,2207000,35396.83,78120793651,78120793651,1-5M,FALSE,FALSE,52,42.1824,-14.04,4610,1328,mulkhan
Jitana,Raledria,Atirha,1035000,28492.06,29489285714,29489285714,1-5M,FALSE,FALSE,39,42.0024,-40.68,3870,1333,jitana
Nalvoku,Etirha,Atirha,1225000,35396.83,43361111111,43361111111,1-5M,FALSE,FALSE,47,41.9304,-5.472,4848,1335,nalvoku
Huifarn,Verusa,Ayuma,5080000,22301.59,113292063492,113292063492,5-10M,TRUE,TRUE,117,41.9304,43.02,6195,1335,huifarn
Tiyomi,Fincen,Atirha,1510000,12857.14,19414285714,19414285714,1-5M,TRUE,FALSE,31,41.6783,-51.66,3565,1342,tiyomi
Foulang,Verusa,Ayuma,1068000,22301.59,23818095238,23818095238,1-5M,FALSE,FALSE,32,41.1022,40.608,6128,1358,foulang
Minafi,New Misos,Atirha,4675000,15555.56,72722222222,72722222222,1-5M,FALSE,FALSE,33,40.9582,-75.168,2912,1362,minafi
Tamira,Phuris,Atirha,4581000,1865.08,8543928571,8543928571,1-5M,FALSE,FALSE,15,40.8502,-99.792,2228,1365,tamira
Hulong,Curata,Atirha,3239000,11230.16,36374484127,36374484127,1-5M,TRUE,FALSE,34,40.7421,-45.072,3748,1368,hulong
Zhetren,Etirha,Atirha,2359000,35396.83,83501111111,83501111111,1-5M,FALSE,FALSE,53,40.6701,-4.608,4872,1370,zhetren
Khorin,Yaxuto,Ayuma,3511000,18492.06,64925634921,64925634921,1-5M,TRUE,FALSE,74,40.022,37.692,6047,1388,khorin
Turkhian,Etirha,Atirha,3681000,35396.83,130295714286,130295714286,1-5M,FALSE,FALSE,57,39.878,-9.828,4727,1392,turkhian
Lunru,Etirha,Atirha,8770000,35396.83,310430158730,310430158730,5-10M,FALSE,TRUE,131,39.77,-12.924,4641,1395,lunru
Yeklan,Etirha,Atirha,1647000,35396.83,58298571429,58298571429,1-5M,FALSE,FALSE,48,39.6979,-1.728,4952,1397,yeklan
Jentori,Verusa,Ayuma,4019000,22301.59,89630079365,89630079365,1-5M,FALSE,FALSE,73,39.6259,42.876,6191,1399,jentori
Korvona,Etirha,Atirha,1243000,35396.83,43998253968,43998253968,1-5M,FALSE,FALSE,47,39.4099,-7.74,4785,1405,korvona
Ternyu,Tomscilus,Atirha,1005000,16785.71,16869642857,16869642857,1-5M,TRUE,FALSE,33,38.7978,-56.88,3420,1422,ternyu
Sakraza,Phuris,Atirha,1819000,1865.08,3392579365,3392579365,1-5M,FALSE,FALSE,12,38.5817,-111.6,1900,1428,sakraza
City of Dauris,Phuris,Atirha,5240000,1865.08,9773015873,9773015873,5-10M,TRUE,FALSE,22,37.8616,-109.332,1963,1448,city-of-dauris
Mahana,Areoix Lie,Acrola,8540000,7936.51,67777777778,67777777778,5-10M,FALSE,FALSE,36,37.7896,98.28,7730,1450,mahana
Kavlira,Etirha,Atirha,4220000,35396.83,149374603175,149374603175,1-5M,FALSE,FALSE,67,37.6815,-4.212,4883,1453,kavlira
Raldino,Phuris,Atirha,1388000,1865.08,2588730159,2588730159,1-5M,FALSE,FALSE,11,37.2494,-113.22,1855,1465,raldino
Shernuka,Etirha,Atirha,1223000,35396.83,43290317460,43290317460,1-5M,FALSE,FALSE,47,36.9974,-8.46,4765,1472,shernuka
Zhangkao,Yaxuto,Ayuma,1486000,18492.06,27479206349,27479206349,1-5M,FALSE,FALSE,31,36.9974,41.832,6162,1472,zhangkao
Xemara,Areoix Lie,Acrola,1169000,7936.51,9277777778,9277777778,1-5M,FALSE,FALSE,18,36.9974,97.092,7697,1472,xemara
Lungkai,Merela Sta,Ayuma,1160000,14206.35,16479365079,16479365079,1-5M,FALSE,FALSE,24,36.8894,37.692,6047,1475,lungkai
Albiran,Etirha,Atirha,10119000,35396.83,358180476190,358180476190,10-20M,TRUE,TRUE,178,36.6013,-4.32,4880,1483,albiran
Naliti,Disal Nila,Atirha,1181000,18174.6,21464206349,21464206349,1-5M,TRUE,FALSE,35,36.1692,-12.636,4649,1495,naliti
Mushka,Etirha,Atirha,1563000,35396.83,55325238095,55325238095,1-5M,FALSE,FALSE,48,35.7011,-5.832,4838,1508,mushka
Ser,Merela Sta,Ayuma,1133000,14206.35,16095793651,16095793651,1-5M,FALSE,FALSE,24,35.5931,40.428,6123,1511,ser
Haikaia,Areoix Lie,Acrola,2631000,7936.51,20880952381,20880952381,1-5M,FALSE,FALSE,25,35.3051,93.492,7597,1519,haikaia
Talung,Merela Sta,Ayuma,1686000,14206.35,23951904762,23951904762,1-5M,TRUE,FALSE,33,35.2691,38.16,6060,1520,talung
Nakahiki,Areoix Lie,Acrola,13482000,7936.51,107000000000,107000000000,10-20M,FALSE,TRUE,107,35.161,95.58,7655,1523,nakahiki
Mbeke,Disal Nila,Atirha,1170000,18174.6,21264285714,21264285714,1-5M,FALSE,FALSE,28,34.5849,-9.288,4742,1539,mbeke
Shamarin,Darewa,Ayuma,2569000,11230.16,28850277778,28850277778,1-5M,TRUE,FALSE,39,34.5489,48.78,6355,1540,shamarin
Pitahu,Areoix Lie,Acrola,1017000,7936.51,8071428571,8071428571,1-5M,FALSE,FALSE,18,33.4687,94.392,7622,1570,pitahu
Mireli,Areoix Lie,Acrola,5990000,7936.51,47539682540,47539682540,5-10M,FALSE,FALSE,32,33.2166,99.54,7765,1577,mireli
Vahata,Areoix Lie,Acrola,1799000,7936.51,14277777778,14277777778,1-5M,FALSE,FALSE,24,33.1806,96.12,7670,1578,vahata
Zothra,Siana,Ayuma,3306000,19087.3,63102619048,63102619048,1-5M,FALSE,FALSE,53,32.2084,43.488,6208,1605,zothra
Zirohu,Areoix Lie,Acrola,32514000,7936.51,258047619048,258047619048,>20M,FALSE,TRUE,143,31.7764,99.612,7767,1617,zirohu
Mangiwa,Siana,Ayuma,1803000,19087.3,34414404762,34414404762,1-5M,FALSE,FALSE,41,31.7403,41.652,6157,1618,mangiwa
Tuatiku,Areoix Lie,Acrola,1142000,7936.51,9063492063,9063492063,1-5M,FALSE,FALSE,19,31.4883,92.232,7562,1625,tuatiku
Mauhunai,Areoix Lie,Acrola,1023000,7936.51,8119047619,8119047619,1-5M,FALSE,FALSE,17,31.4523,100.728,7798,1626,mauhunai
Tianco,Lycroa,Ayuma,1599000,20634.92,32995238095,32995238095,1-5M,FALSE,FALSE,41,31.2362,47.772,6327,1632,tianco
Zaringao,Lycroa,Ayuma,1243000,20634.92,25649206349,25649206349,1-5M,FALSE,FALSE,33,31.2002,49.968,6388,1633,zaringao
Nikahatu,Areoix Lie,Acrola,7210000,7936.51,57222222222,57222222222,5-10M,FALSE,FALSE,38,31.2002,101.088,7808,1633,nikahatu
Xalavi,Areoix Lie,Acrola,9600000,7936.51,76190476190,76190476190,5-10M,FALSE,FALSE,48,30.8762,94.32,7620,1642,xalavi
Kaimoana,Areoix Lie,Acrola,1187000,7936.51,9420634921,9420634921,1-5M,FALSE,FALSE,18,30.5881,90.72,7520,1650,kaimoana
Yuwiha,Areoix Lie,Acrola,1350000,7936.51,10714285714,10714285714,1-5M,FALSE,FALSE,20,30.4441,99.288,7758,1654,yuwiha
Rimao,Lycroa,Ayuma,1134000,20634.92,23400000000,23400000000,1-5M,FALSE,FALSE,37,29.94,49.032,6362,1668,rimao
Vurahi,Areoix Lie,Acrola,21581000,7936.51,171277777778,171277777778,>20M,TRUE,TRUE,154,29.904,90.432,7512,1669,vurahi
Lihakoa,Areoix Lie,Acrola,3584000,7936.51,28444444444,28444444444,1-5M,FALSE,FALSE,27,29.868,94.968,7638,1670,lihakoa
Wadika,Siana,Ayuma,5110000,19087.3,97536111111,97536111111,5-10M,TRUE,FALSE,87,29.6159,39.888,6108,1677,wadika
Shorakim,Eldjo,Ayuma,1254000,13769.84,17267380952,17267380952,1-5M,TRUE,FALSE,31,29.4359,52.56,6460,1682,shorakim
Jungui,Lycroa,Ayuma,9990000,20634.92,206142857143,206142857143,5-10M,TRUE,TRUE,177,29.3279,47.052,6307,1685,jungui
Vimano,Areoix Lie,Acrola,1448000,7936.51,11492063492,11492063492,1-5M,FALSE,FALSE,17,28.9678,88.992,7472,1695,vimano
Tungkam,Siana,Ayuma,1195000,19087.3,22809325397,22809325397,1-5M,FALSE,FALSE,29,28.7518,40.788,6133,1701,tungkam
Tavarua,Areoix Lie,Acrola,1469000,7936.51,11658730159,11658730159,1-5M,FALSE,FALSE,23,28.6797,92.412,7567,1703,tavarua
Liambra,Lycroa,Ayuma,3627000,20634.92,74842857143,74842857143,1-5M,FALSE,FALSE,55,28.3557,46.008,6278,1712,liambra
Huetun,Lycroa,Ayuma,1168000,20634.92,24101587302,24101587302,1-5M,FALSE,FALSE,36,27.5995,48.852,6357,1733,huetun
Zhrunbei,Emara,Ayuma,1276000,23214.29,29621428571,29621428571,1-5M,FALSE,FALSE,38,27.0954,42.228,6173,1747,zhrunbei
Baxian,Emara,Ayuma,2050000,23214.29,47589285714,47589285714,1-5M,FALSE,FALSE,49,27.0594,44.28,6230,1748,baxian
Matini,Areoix Lie,Acrola,1192000,7936.51,9460317460,9460317460,1-5M,FALSE,FALSE,17,26.9874,108,8000,1750,matini
Tirzovik,Emara,Ayuma,2913000,23214.29,67623214286,67623214286,1-5M,FALSE,FALSE,57,26.0152,39.168,6088,1777,tirzovik
Sorvaya,Lycroa,Ayuma,1121000,20634.92,23131746032,23131746032,1-5M,FALSE,FALSE,34,26.0152,49.14,6365,1777,sorvaya
Hanzubek,Ukhdari,Ayuma,1137000,11230.16,12768690476,12768690476,1-5M,FALSE,FALSE,20,25.7271,76.428,7123,1785,hanzubek
Lunatoa,Areoix Lie,Acrola,1855000,7936.51,14722222222,14722222222,1-5M,FALSE,FALSE,22,25.7271,100.8,7800,1785,lunatoa
Xamahu,Areoix Lie,Acrola,1206000,7936.51,9571428571,9571428571,1-5M,FALSE,FALSE,18,25.6551,93.672,7602,1787,xamahu
Brimasha,Praesyu,Ayuma,4630000,14166.67,65591666667,65591666667,1-5M,TRUE,FALSE,76,25.6191,58.608,6628,1788,brimasha
Faramozan,Ukhdari,Ayuma,1029000,11230.16,11555833333,11555833333,1-5M,TRUE,FALSE,36,25.115,76.14,7115,1802,faramozan
Sompai,Lycroa,Ayuma,2358000,20634.92,48657142857,48657142857,1-5M,FALSE,FALSE,43,25.007,47.556,6321,1805,sompai
Tazirun,Ealdorii,Ayuma,1495000,4920.63,7356349206,7356349206,1-5M,FALSE,FALSE,15,24.3589,62.028,6723,1823,tazirun
Borzhai,Emara,Ayuma,3078000,23214.29,71453571429,71453571429,1-5M,FALSE,FALSE,57,24.2148,42.732,6187,1827,borzhai
Rivostan,Emara,Ayuma,14967000,23214.29,347448214286,347448214286,10-20M,TRUE,TRUE,232,24.1068,41.508,6153,1830,rivostan
Shaikuv,Emara,Ayuma,4565000,23214.29,105973214286,105973214286,1-5M,FALSE,FALSE,73,24.0348,39.708,6103,1832,shaikuv
Sakhen,Ilicuhe,Ayuma,1624000,29484.13,47882222222,47882222222,1-5M,TRUE,FALSE,62,23.7828,53.136,6476,1839,sakhen
Ashdeer,Praesyu,Ayuma,1000000,14166.67,14166666667,14166666667,1-5M,FALSE,FALSE,24,23.7828,55.224,6534,1839,ashdeer
Tianoro,Areoix Lie,Acrola,1965000,7936.51,15595238095,15595238095,1-5M,FALSE,FALSE,24,23.7828,96.3,7675,1839,tianoro
Lashirov,Emara,Ayuma,1060000,23214.29,24607142857,24607142857,1-5M,FALSE,FALSE,34,23.5667,42.732,6187,1845,lashirov
Vikura,Areoix Lie,Acrola,2557000,7936.51,20293650794,20293650794,1-5M,FALSE,FALSE,24,23.5667,89.568,7488,1845,vikura
Vornak,Ealdorii,Ayuma,1291000,4920.63,6352539683,6352539683,1-5M,FALSE,FALSE,15,23.4587,64.008,6778,1848,vornak
Yilovka,Emara,Ayuma,3115000,23214.29,72312500000,72312500000,1-5M,FALSE,FALSE,58,23.1346,40.86,6135,1857,yilovka
Kadorak,Ealdorii,Ayuma,1021000,4920.63,5023968254,5023968254,1-5M,FALSE,FALSE,13,22.3065,65.628,6823,1880,kadorak
Khalzhun,Emara,Ayuma,7320000,23214.29,169928571429,169928571429,5-10M,FALSE,FALSE,95,22.0544,42.912,6192,1887,khalzhun
Tanbai,Easuhura,Ayuma,9360000,25000,234000000000,234000000000,5-10M,TRUE,TRUE,194,21.9464,47.88,6330,1890,tanbai
Boklan,Easuhura,Ayuma,1128000,25000,28200000000,28200000000,1-5M,FALSE,FALSE,37,21.5863,48.78,6355,1900,boklan
Samaru,Acrana,Ayuma,1072000,8849.21,9486349206,9486349206,1-5M,TRUE,FALSE,24,21.2983,62.712,6742,1908,samaru
Shurqan,Ealdorii,Ayuma,13293000,4920.63,65410000000,65410000000,10-20M,TRUE,TRUE,140,21.1542,67.86,6885,1912,shurqan
Chishanov,Emara,Ayuma,2721000,23214.29,63166071429,63166071429,1-5M,FALSE,FALSE,45,20.9022,41.868,6163,1919,chishanov
Zarhesh,Ealdorii,Ayuma,4180000,4920.63,20568253968,20568253968,1-5M,FALSE,FALSE,25,20.7582,69.768,6938,1923,zarhesh
Paviri,Easuhura,Ayuma,1161000,25000,29025000000,29025000000,1-5M,FALSE,FALSE,36,20.6861,45.792,6272,1925,paviri
Khessli,Easuhura,Ayuma,1256000,25000,31400000000,31400000000,1-5M,FALSE,FALSE,37,20.5781,47.592,6322,1928,khessli
Ezrum,Ukhdari,Ayuma,1330000,11230.16,14936111111,14936111111,1-5M,FALSE,FALSE,21,20.2541,73.8,7050,1937,ezrum
Hikorai,Areoix Lie,Acrola,1137000,7936.51,9023809524,9023809524,1-5M,FALSE,FALSE,18,20.2541,108.18,8005,1937,hikorai
Draunak,Ealdorii,Ayuma,1748000,4920.63,8601269841,8601269841,1-5M,FALSE,FALSE,14,20.218,68.868,6913,1938,draunak
Chayek,Easuhura,Ayuma,2771000,25000,69275000000,69275000000,1-5M,FALSE,FALSE,48,20.074,46.728,6298,1942,chayek
Phalanij,Easuhura,Ayuma,1568000,25000,39200000000,39200000000,1-5M,FALSE,FALSE,39,20.074,50.76,6410,1942,phalanij
Havrishka,Ealdorii,Ayuma,2583000,4920.63,12710000000,12710000000,1-5M,FALSE,FALSE,19,19.894,67.68,6880,1947,havrishka
Tahuato,Acetoa,Acrola,1284000,8333.33,10700000000,10700000000,1-5M,FALSE,FALSE,17,19.894,100.08,7780,1947,tahuato
Vorsadun,Ealdorii,Ayuma,1601000,4920.63,7877936508,7877936508,1-5M,FALSE,FALSE,16,19.7499,66.276,6841,1951,vorsadun
Turashik,Ealdorii,Ayuma,6320000,4920.63,31098412698,31098412698,5-10M,FALSE,FALSE,31,19.5339,70.308,6953,1957,turashik
Bokayek,Easuhura,Ayuma,1041000,25000,26025000000,26025000000,1-5M,FALSE,FALSE,36,19.4979,48.24,6340,1958,bokayek
Borshavi,Ukhdari,Ayuma,4291000,11230.16,48188611111,48188611111,1-5M,FALSE,FALSE,36,19.4259,72.072,7002,1960,borshavi
Veshgadar,Ukhdari,Ayuma,5770000,11230.16,64798015873,64798015873,5-10M,FALSE,FALSE,58,18.4897,71.712,6992,1986,veshgadar
Turashik,Ealdorii,Ayuma,6320000,4920.63,31098412698,31098412698,1-5M,FALSE,FALSE,30,18.3457,69.552,6932,1990,turashik-2
Aruhala,Acetoa,Acrola,1083000,8333.33,9025000000,9025000000,1-5M,FALSE,FALSE,17,18.2376,100.728,7798,1993,aruhala
Yezhito,Acetoa,Acrola,1157000,8333.33,9641666667,9641666667,1-5M,TRUE,FALSE,23,17.6255,104.292,7897,2010,yezhito
Fanitia,Terressin,Acrola,1149000,4880.95,5608214286,5608214286,1-5M,FALSE,FALSE,13,17.5175,91.728,7548,2013,fanitia
Dy,Ukhdari,Ayuma,1846000,11230.16,20730873016,20730873016,1-5M,FALSE,FALSE,25,17.2655,71.82,6995,2020,dy
Borezu,Acrana,Ayuma,1027000,8849.21,9088134921,9088134921,1-5M,FALSE,FALSE,18,16.7974,66.132,6837,2033,borezu
Hunzavir,Ukhdari,Ayuma,1209000,11230.16,13577261905,13577261905,1-5M,FALSE,FALSE,21,16.6533,72.468,7013,2037,hunzavir
Risavo,Crila Republic,New Ayre,3933000,11892.86,46774607143,46774607143,1-5M,TRUE,FALSE,42,16.2573,-38.952,3918,2048,risavo
Muvash,Ealdorii,Ayuma,1957000,4920.63,9629682540,9629682540,1-5M,FALSE,FALSE,17,15.8972,71.568,6988,2058,muvash
Zirafu,Zenashan,Ayuma,2088000,2896.83,6048571429,6048571429,1-5M,TRUE,FALSE,19,15.4651,69.228,6923,2070,zirafu
Zurlan,Hkuqo,Ayuma,1119000,2936.51,3285952381,3285952381,1-5M,FALSE,FALSE,14,15.4651,72.468,7013,2070,zurlan
Muntai,Jau,Acrola,1029000,436.51,449166667,449166667,1-5M,TRUE,FALSE,16,14.6729,78.948,7193,2092,muntai
Rudeka,Maalle,New Ayre,1487000,3253.97,4838650794,4838650794,1-5M,TRUE,FALSE,18,14.0248,-39.888,3892,2110,rudeka
Kauhuo,Terressin,Acrola,1621000,4880.95,7912023810,7912023810,1-5M,FALSE,FALSE,14,13.8448,93.528,7598,2115,kauhuo
Kavirro,Astye,New Ayre,2631000,3694.44,9720083333,9720083333,1-5M,TRUE,FALSE,20,12.9806,-42.624,3816,2139,kavirro
Hirvasa,Ohtina,New Ayre,1978000,8769.84,17346746032,17346746032,1-5M,FALSE,FALSE,19,12.6565,-53.208,3522,2148,hirvasa
Rajalindo,Hkuqo,Ayuma,1002000,2936.51,2942380952,2942380952,1-5M,FALSE,FALSE,12,12.2244,73.08,7030,2160,rajalindo
Velloro,Terressin,Acrola,5090000,4880.95,24844047619,24844047619,5-10M,TRUE,FALSE,35,12.1164,92.592,7572,2163,velloro
Lumeka,Ohtina,New Ayre,2965000,8769.84,26002579365,26002579365,1-5M,FALSE,FALSE,23,12.0444,-50.112,3608,2165,lumeka
Heslian,United Delet,New Ayre,6880000,10198.41,70165079365,70165079365,5-10M,FALSE,FALSE,35,11.3963,-40.68,3870,2183,heslian
Glonashi,Astye,New Ayre,1219000,3694.44,4503527778,4503527778,1-5M,FALSE,FALSE,12,11.1442,-42.012,3833,2190,glonashi
Fenavo,Ohtina,New Ayre,2168000,8769.84,19013015873,19013015873,1-5M,FALSE,FALSE,22,11.0722,-50.22,3605,2192,fenavo
